Title,Price,Bedrooms,Living Size(m²),Land Size(m²),Location,Timestamp
rumah nyaman 2 lantai,Rp 4.600.000.000,5,250,400,"JALAN RAYA RANGU Cinere, Depok",2025-04-27T14:33:09.885812
jual rumah di kelapa gading 3 lantai bagus bebas banjir,Rp 2.150.000.000,5,170,75,"Kelapa Gading, Jakarta Utara",2025-04-27T14:33:10.126916
"jual rumah di vila chery 1, cimacan, cianjur, puncak",Rp 1.200.000.000,3,100,450,"Cianjur, Cianjur",2025-04-27T14:33:10.416747
"rumah mewah 2 lantai di sukamaju, depok. dekat hypermart tole iskandar",Rp 1.050.000.000,3,89,66,"Sukamaju, Depok",2025-04-27T14:33:10.708805
"rumah mewah full bata merah 1 lantai & 2 lantai di cilodong, depok",Rp 764.000.000,3,55,78,"Jatimulya, Depok",2025-04-27T14:33:10.996029
latinos bussiness district di bsd office & tempat tinggal,Rp 1.700.000.000,2,94,94,"Serpong, Tangerang Selatan",2025-04-27T14:33:11.304327
dijual rumah cluster serenade lake gading serpong,Rp 3.200.000.000,3,181,180,"Tangerang, Tangerang",2025-04-27T14:33:11.596131
dijual rumah cantik lokasi strategis belakang grand hyatt yogyakarta,Rp 2.200.000.000,3,225,100,"Ngaglik, Sleman",2025-04-27T14:33:11.858412
dijual rumah di cilangkap depok 15 menit ke tol cimanggis,Rp 2.000.000.000,3,120,197,"Cilangkap, Depok",2025-04-27T14:33:12.145584
dijual rumah di depok akses jalan raya bogor nego,Rp 750.000.000,3,81,81,"Cilodong, Depok",2025-04-27T14:33:12.433843
rumah mewah dan cantik shm dekat kantor pengadilan agama,Rp 1.260.000.000,3,80,41,"Rawa Sari, Jakarta Pusat",2025-04-27T14:33:12.687715
citra garden serpong gavius harga mulai 750 juta ppn 0%,Rp 765.000.000,2,28,60,"Cisauk, Tangerang",2025-04-27T14:33:12.968420
rumah 2 lantai siap huni cipinang elok jakarta timur,Rp 504.000.000,1,39,20,"Jalan Cipinang Elok 1D, Cipinang Muara Kel., Jatinegara, Jakarta Timur, 13380, Indonesia Cipinang, Jakarta Timur",2025-04-27T14:33:13.226154
rumah real estate second murah di citra indah city cileungsi jonggol,Rp 435.000.000,2,45,120,"Jonggol, Bogor",2025-04-27T14:33:13.515847
gading center tipe 268 (hoek b),Rp 3.801.210.000,3,268,155,"Jalan Siak No.9, Sukapura, Cilincing, Jakarta Utara",2025-04-27T14:33:13.809907
rumah siap huni dp 0% free biaya akses 10 menit ke stasiun depok,Rp 783.000.000,3,65,67,"Jalan Boulevard Grand Depok City, Depok, Indonesia Cilodong, Depok",2025-04-27T14:33:14.066315
rumah baru semi furnished plumeria residence graha raya dekat toll,Rp 1.985.000.000,3,102,71,Plumeria Residence Tangerang Selatan,2025-04-27T14:33:14.283763
rumah 2 lantai siap huni di cibinong bogor,Rp 680.000.000,3,80,60,"Nanggewer, Bogor",2025-04-27T14:33:14.398424
dijual cepat rumah mewah luas ada pool harga ok di menteng,Rp 43.000.000.000,6,520,753,"Menteng, Jakarta Pusat",2025-04-27T14:33:14.506353
jual rumah di the green bsd serpong,Rp 5.200.000.000,5,330,208,"The Green BSD Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:33:14.603402
jual rumah di griyaloka bsd serpong,Rp 2.000.000.000,3,120,87,"Griya Loka BSD Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:33:14.715458
jual rumah taman cibaduyut indah bandung,Rp 850.000.000,3,70,110,"Cibaduyut, Bandung",2025-04-27T14:33:14.923945
jual rumah nyaman komplek dago giri,Rp 5.000.000.000,6,358,501,"Dago, Bandung",2025-04-27T14:33:15.232033
rumah siap huni kayu putih 2 lantai bebas banjir lokasi strategisb,Rp 4.800.000.000,5,300,200,"Kayu Putih, Jakarta Timur",2025-04-27T14:33:23.288496
rumah bagus siap huni area turangga bandung dekat trans studio mall,Rp 1.600.000.000,3,120,137,"Turangga, Bandung",2025-04-27T14:33:23.539383
villa di komplek malibu junction ( jalan karya jaya / tritura ),Rp 1.520.000.000,2,137.0,91,"Jalan Karya Jaya, Medan, Indonesia Medan Johor, Medan",2025-04-27T14:33:23.821250
rumah qozy cantik di jl durian barat jagakarsa jakarta,Rp 2.900.000.000,4,230,147,"Jalan Durian Barat II, Jagakarsa Kel., Jagakarsa, Jakarta Selatan, 12620, Indonesia Jagakarsa, Jakarta Selatan",2025-04-27T14:33:24.087888
dijual cepat rumah siap huni 1 1/4 lantai unit rumah di hook,Rp 2.500.000.000,5,250,270,"Kelapa Dua, Depok",2025-04-27T14:33:24.287943
dijual cepat rumah murah di jl. beringin helvetia medan,Rp 1.200.000.000,6,200,413,"BERINGIN HELVETIA- MEDAN Medan Helvetia, Medan",2025-04-27T14:33:24.404426
"rumah 2 lt, shm, bagus, nyaman, kelapa dua, cimanggis, kota depok",Rp 2.800.000.000,3,130,150,"Kelapa Dua, Depok",2025-04-27T14:33:24.520966
dijual cepat rumah baru cakep ada pool turun harga di bintaro sektor 9,Rp 4.500.000.000,5,285,180,"Bintaro, Tangerang Selatan",2025-04-27T14:33:24.643749
dijual rumah baru 2-lantai minimalis dalam cluster daerah pasar minggu,Rp 635.000.000,3,65,35,"Kebagusan Pasar Minggu, Jakarta Selatan",2025-04-27T14:33:24.738914
rumah baru harga murah siap huni lokasi anninas residence klaten,Rp 435.000.000,2,42,80,"Ngawen, Klaten",2025-04-27T14:33:24.834604
"rumah 2 lantai bebas banjir, shm di bintara 9 dekat tol bintara",Rp 700.000.000,3,110,55,"Jalan Bintara 9 Bintara, Bekasi",2025-04-27T14:33:24.943819
jual rumah di the green bsd serpong,Rp 7.050.000.000,4,400,252,"The GReen BSD Bumi Serpong Damai, Tangerang Selatan",2025-04-27T14:33:25.058182
rumah jambangan surabaya,Rp 1.450.000.000,5,186,84,"Jambangan, Surabaya",2025-04-27T14:33:25.173111
rumah baru dekat jakarta 100 meter,Rp 1.100.000.000,3,85,100,"Joglo, Jakarta Barat",2025-04-27T14:33:25.300029
jual rumah di greencourt 4 kt 237 m2 harga bawah pasaran !,Rp 4.200.000.000,4,110,237,"Perumahan Greencourt Kapuk, Jakarta Barat",2025-04-27T14:33:25.434747
