Title,Price,Bedrooms,Living Size(m²),Land Size(m²),Location,Timestamp
rumah cantik full renovasi siap huni lokasi favorite,4600000000.0,3,200.0,180.0,Tangerang Selatan,2025-04-27T14:41:46.224760
dijual rumah bagus siap huni di bintaro sektor 9,5000000000.0,4,390.0,212.0,Tangerang Selatan,2025-04-27T14:41:46.527103
rumah hook siap huni di taman laguna cibubur,4500000000.0,4,124.0,319.0,Jakarta Timur,2025-04-27T14:41:57.739613
rumah mewah 2 lt ready di town house solo kota,1150000000.0,3,130.0,97.0,Solo,2025-04-27T14:41:58.034436
rumah cluster zebrina 148m 4kt jgc jakarta garden city cakung,2500000000.0,4,180.0,148.0,Jakarta Timur,2025-04-27T14:41:58.356033
rumah cantik full renovasi siap huni lokasi favorite,4600000000.0,3,200.0,180.0,Tangerang Selatan,2025-04-27T14:41:58.858682
dijual rumah bagus siap huni di bintaro sektor 9,5000000000.0,4,390.0,212.0,Tangerang Selatan,2025-04-27T14:41:59.169683
rumah minimalis di pejaten timur semi furnished nego langsung owner,2500000000.0,3,110.0,84.0,Jakarta Selatan,2025-04-27T14:41:59.486400
stunning three-bedroom villa in the heart of umalas,4500000000.0,3,290.0,303.0,Badung,2025-04-27T14:41:59.782520
panorama terrace tipe a,4410000000.0,5,180.0,146.0,Jakarta Selatan,2025-04-27T14:42:00.075072
perumahan pasuruan subsidi viral terlaris bangunan mewah,166000000.0,2,27.0,66.0,Pasuruan,2025-04-27T14:42:00.380644
di jual rumah cantik siap huni kuldesak. kota wisata cibubur.,2799000000.0,4,200.0,180.0,Jakarta Timur,2025-04-27T14:42:00.665406
"jual rumah cantik cluster greenwood,strategis dkt pintu tol pamulang",1360000000.0,3,96.0,112.0,Tangerang Selatan,2025-04-27T14:42:00.955036
dijual rumah di daerah sako kota palembang - sinar sako residence,750000000.0,2,52.0,52.0,Palembang,2025-04-27T14:42:01.342436
dijual rumah 3.5 lantai tb simatupang jaksel,1750000000.0,3,84.0,33.0,Jakarta Selatan,2025-04-27T14:42:01.643795
rumah bagus siap huni di discovery bintaro jaya -kn,2950000000.0,3,120.0,104.0,Tangerang Selatan,2025-04-27T14:42:01.934094
prime area townhouse dekat gandaria city & pondok indah,3800000000.0,3,140.0,133.0,Jakarta Selatan,2025-04-27T14:42:02.233879
dijual murah rumah bagus di cempaka putih tengah jakarta pusat,14000000000.0,8,529.0,516.0,Jakarta Pusat,2025-04-27T14:42:02.547209
di jual rumah siap huni di cipinang elok jakarta timur,460000000.0,2,22.0,44.0,Jakarta Timur,2025-04-27T14:42:02.831924
rumah plus kost aktif lt 419m² dekat akfis,2000000000.0,7,220.0,419.0,Karanganyar,2025-04-27T14:42:03.130534
rumah premiun di royal batavia,500000000.0,2,48.0,60.0,Tangerang,2025-04-27T14:42:03.425377
jual rumah di kencana loka bsd serpong,2650000000.0,4,135.0,200.0,Tangerang Selatan,2025-04-27T14:42:03.734549
rumah secondary bagus dan terawat di malaka cipayung jakarta timur,1600000000.0,4,150.0,88.0,Jakarta Timur,2025-04-27T14:42:04.032867
rumah cantik sudah renov cluster favorit di kota wisata cibubur,1600000000.0,4,120.0,112.0,Jakarta Timur,2025-04-27T14:42:04.340401
jual di cluster kireina park nusaloka bsd serpong,1800000000.0,3,85.0,105.0,Tangerang Selatan,2025-04-27T14:42:04.633628
